quadratid,y,x,label_name,label,func_group,method,data_set
36004130801.jpg,181,187,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,167,163,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,184,337,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,60,281,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,83,258,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,78,359,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,159,358,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,57,407,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,75,539,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,205,552,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,111,784,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,161,985,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,166,917,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,296,198,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,252,185,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,264,391,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,300,323,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,283,563,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,291,485,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,272,789,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,279,997,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,402,884,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,473,312,Acropora,BRA_TAB-Ac,Hard Coral,random,test
36004130801.jpg,612,606,Loose Substrate: Sand,LSUB_SAND,Other,random,test
36004130801.jpg,551,553,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
36004130801.jpg,591,598,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
36004130801.jpg,627,713,Loose Substrate: Sand,LSUB_SAND,Other,random,test
36004130801.jpg,466,794,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,450,982,Porites,MASE_SMO_P,Hard Coral,random,test
36004130801.jpg,482,855,Acropora,BRA_ARB_Ac,Hard Coral,random,test
36004130801.jpg,680,243,Loose Substrate: Sand,LSUB_SAND,Other,random,test
36004130801.jpg,712,103,Loose Substrate: Sand,LSUB_SAND,Other,random,test
36004130801.jpg,758,378,Acropora,BRA_ARB_Ac,Hard Coral,random,test
