quadratid,y,x,label_name,label,func_group,method,data_set
34002090002.jpg,60,180,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,137,313,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,121,246,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,145,572,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,104,426,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,88,721,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,82,769,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,149,817,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,150,837,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,193,950,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,310,229,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,299,385,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,381,537,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,372,760,Calcifying calcareous crustose algae: DHC,CAL_CCA_DC,Algae,random,test
34002090002.jpg,277,745,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,375,760,Calcifying calcareous crustose algae: DHC,CAL_CCA_DC,Algae,random,test
34002090002.jpg,249,668,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,399,843,Epilithic Algal Matrix,Unc,Algae,random,test
34002090002.jpg,343,822,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,366,857,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,535,217,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,570,283,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,452,558,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,454,452,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,732,81,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,752,114,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,771,73,Calcifying calcareous crustose algae: DHC,CAL_CCA_DC,Algae,random,test
34002090002.jpg,698,262,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,691,566,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,612,570,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,745,450,Unknown,Unk,Other,random,test
34002090002.jpg,652,695,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,646,793,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,675,689,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,615,864,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,630,904,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,722,963,Massive or encrusting sponges,SINV_SPO_M,Other Invertebrates,random,test
34002090002.jpg,635,928,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,801,75,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,853,55,Massive or encrusting sponges,SINV_SPO_M,Other Invertebrates,random,test
34002090002.jpg,808,87,Massive or encrusting sponges,SINV_SPO_M,Other Invertebrates,random,test
34002090002.jpg,928,158,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,872,104,Massive or encrusting sponges,SINV_SPO_M,Other Invertebrates,random,test
34002090002.jpg,958,101,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,875,757,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,976,887,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090002.jpg,856,836,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,166,74,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,110,58,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,115,495,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,199,565,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,235,690,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,185,852,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,115,934,Epilithic Algal Matrix,Unc,Algae,random,test
34002090102.jpg,174,905,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,250,221,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,305,257,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,335,447,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,350,708,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,292,907,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,459,341,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,521,499,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,547,465,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,582,481,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,455,769,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,446,712,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,570,964,Porites,MASE_SMO_P,Hard Coral,random,test
34002090102.jpg,562,919,Porites,MASE_SMO_P,Hard Coral,random,test
34002090102.jpg,602,808,Porites,MASE_SMO_P,Hard Coral,random,test
34002090102.jpg,450,877,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,469,802,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,630,235,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,625,194,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,756,104,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,657,333,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,646,391,Epilithic Algal Matrix,Unc,Algae,random,test
34002090102.jpg,700,392,Epilithic Algal Matrix,Unc,Algae,random,test
34002090102.jpg,671,405,Epilithic Algal Matrix,Unc,Algae,random,test
34002090102.jpg,657,584,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,780,597,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,679,468,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,668,680,Calcifying calcareous crustose algae: DHC,CAL_CCA_DC,Algae,random,test
34002090102.jpg,648,768,Porites,MASE_SMO_P,Hard Coral,random,test
34002090102.jpg,744,677,Epilithic Algal Matrix,Unc,Algae,random,test
34002090102.jpg,610,741,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,611,968,Porites,MASE_SMO_P,Hard Coral,random,test
34002090102.jpg,938,182,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090102.jpg,819,455,Porites,MASE_SMO_P,Hard Coral,random,test
34002090102.jpg,918,486,Porites,MASE_SMO_P,Hard Coral,random,test
34002090102.jpg,961,714,Porites,MASE_SMO_P,Hard Coral,random,test
34002090102.jpg,973,698,Porites,MASE_SMO_P,Hard Coral,random,test
34002090102.jpg,868,639,Porites,MASE_SMO_P,Hard Coral,random,test
34002090102.jpg,882,972,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,125,99,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,208,284,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,70,369,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,206,598,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090202.jpg,66,518,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,83,683,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,62,854,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,154,868,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,240,312,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090202.jpg,301,310,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090202.jpg,376,274,Porites,MASE_SMO_P,Hard Coral,random,test
34002090202.jpg,253,463,Epilithic algal matirx smotheting rubble,EAM_RB,Algae,random,test
34002090202.jpg,420,756,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,361,636,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,420,737,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,386,673,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,378,824,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,403,909,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,447,232,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,593,348,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090202.jpg,547,396,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090202.jpg,490,603,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,440,591,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,581,632,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,469,927,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,596,892,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,674,423,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,715,379,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090202.jpg,617,366,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090202.jpg,770,418,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090202.jpg,631,455,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090202.jpg,695,432,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,682,792,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,633,648,Porites,MASE_SMO_P,Hard Coral,random,test
34002090202.jpg,632,794,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,869,308,Epilithic Algal Matrix,Unc,Algae,random,test
34002090202.jpg,814,373,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,959,280,Porites,MASE_SMO_P,Hard Coral,random,test
34002090202.jpg,921,339,Porites,MASE_SMO_P,Hard Coral,random,test
34002090202.jpg,890,515,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090202.jpg,887,459,Calcifying calcareous crustose algae: DHC,CAL_CCA_DC,Algae,random,test
34002090202.jpg,972,692,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090202.jpg,878,860,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090302.jpg,92,114,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,123,61,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,233,221,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,105,407,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,132,565,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,156,684,Calcifying calcareous crustose algae: DHC,CAL_CCA_DC,Algae,random,test
34002090302.jpg,99,612,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,211,727,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,130,685,Epilithic Algal Matrix,Unc,Algae,random,test
34002090302.jpg,69,744,Porites,MASE_SMO_P,Hard Coral,random,test
34002090302.jpg,123,956,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,403,213,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,265,408,Calcifying calcareous crustose algae: DHC,CAL_CCA_DC,Algae,random,test
34002090302.jpg,350,553,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,300,754,Calcifying calcareous crustose algae: DHC,CAL_CCA_DC,Algae,random,test
34002090302.jpg,388,789,Calcifying calcareous crustose algae: DHC,CAL_CCA_DC,Algae,random,test
34002090302.jpg,416,903,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,246,885,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,332,854,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,598,56,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,602,182,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,578,182,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,516,296,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,463,301,Acropora,BRA_TAB-Ac,Hard Coral,random,test
34002090302.jpg,429,281,Acropora,BRA_TAB-Ac,Hard Coral,random,test
34002090302.jpg,485,418,Acropora,BRA_TAB-Ac,Hard Coral,random,test
34002090302.jpg,442,477,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,540,434,Acropora,BRA_TAB-Ac,Hard Coral,random,test
34002090302.jpg,538,538,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090302.jpg,604,584,Epilithic algal matirx smotheting rubble,EAM_RB,Algae,random,test
34002090302.jpg,545,975,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,464,817,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,650,85,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,705,416,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090302.jpg,623,274,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090302.jpg,727,331,Epilithic algal matirx smotheting rubble,EAM_RB,Algae,random,test
34002090302.jpg,660,672,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090302.jpg,688,684,Epilithic algal matirx smotheting rubble,EAM_RB,Algae,random,test
34002090302.jpg,812,347,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,969,371,Loose Substrate: Sand,LSUB_SAND,Other,random,test
34002090302.jpg,802,441,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,853,499,Porites,MASE_SMO_P,Hard Coral,random,test
34002090302.jpg,829,487,Porites,MASE_SMO_P,Hard Coral,random,test
34002090302.jpg,934,712,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,979,628,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,831,733,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,844,886,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090302.jpg,916,966,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
34002090402.jpg,100,177,Porites,MASE_SMO_P,Hard Coral,random,test
34002090402.jpg,131,155,Porites,MASE_SMO_P,Hard Coral,random,test
