quadratid,y,x,label_name,label,func_group,method,data_set
42004146101.jpg,217,389,Other soft-corals no common Alcyoniidae and erects,SINV_SFC_O,Soft Coral,random,test
42004146101.jpg,280,190,Other soft-corals no common Alcyoniidae and erects,SINV_SFC_O,Soft Coral,random,test
42004146101.jpg,233,626,Other soft-corals no common Alcyoniidae and erects,SINV_SFC_O,Soft Coral,random,test
42004146101.jpg,173,1010,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146101.jpg,120,1091,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146101.jpg,323,1243,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146101.jpg,166,1399,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146101.jpg,350,1690,Other soft-corals no common Alcyoniidae and erects,SINV_SFC_O,Soft Coral,random,test
42004146101.jpg,487,399,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146101.jpg,474,311,Epilithic algal matirx smotheting rubble,EAM_RB,Algae,random,test
42004146101.jpg,750,791,Acropora,BRA_TAB-Ac,Hard Coral,random,test
42004146101.jpg,558,556,Acropora,BRA_TAB-Ac,Hard Coral,random,test
42004146101.jpg,1091,792,Other soft-corals no common Alcyoniidae and erects,SINV_SFC_O,Soft Coral,random,test
42004146101.jpg,891,632,Other soft-corals no common Alcyoniidae and erects,SINV_SFC_O,Soft Coral,random,test
42004146101.jpg,896,1253,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146101.jpg,1366,1695,Other soft-corals no common Alcyoniidae and erects,SINV_SFC_O,Soft Coral,random,test
42004146101.jpg,1695,730,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146101.jpg,1516,1302,Loose Substrate: Sand,LSUB_SAND,Other,random,test
42004146101.jpg,1502,1480,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146101.jpg,1713,1373,Loose Substrate: Sand,LSUB_SAND,Other,random,test
42004146101.jpg,1778,1611,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146101.jpg,1504,1661,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146101.jpg,1697,1684,Loose Substrate: Sand,LSUB_SAND,Other,random,test
42004146201.jpg,163,108,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,147,797,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,184,609,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,304,591,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,448,946,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,151,955,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,277,1017,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,418,898,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,357,1408,Other soft-corals no common Alcyoniidae and erects,SINV_SFC_O,Soft Coral,random,test
42004146201.jpg,472,311,Loose Substrate: Sand,LSUB_SAND,Other,random,test
42004146201.jpg,601,710,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,766,1071,Pocillopora,BRA_VER_Po,Hard Coral,random,test
42004146201.jpg,799,961,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,1081,589,Other soft-corals no common Alcyoniidae and erects,SINV_SFC_O,Soft Coral,random,test
42004146201.jpg,1067,1746,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,1196,270,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,1381,355,Loose Substrate: Sand,LSUB_SAND,Other,random,test
42004146201.jpg,1315,1277,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,1391,1252,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,1449,1247,Acropora,BRA_TAB-Ac,Hard Coral,random,test
42004146201.jpg,1414,1694,EAM: Dead Hard Coral,EAM_DHC,Algae,random,test
42004146201.jpg,1769,686,Acropora,BRA_TAB-Ac,Hard Coral,random,test
